项目编号,类型,名称,子编号,总额,年化收益率,期限,方式,是否有优惠,优惠方式,优惠利率
22314,房贷 ,友居贷1号021,30,1000000,10.90,3个月,按月付息到期还本,1,特惠标,
22375,产融贷 ,汇赢3号036,15,1000000,8.50,30天,一次性还本付息,0,,
22382,产融贷 ,长兴2号110,2,1000000,12.50,12个月,按月付息到期还本,1,特惠标,
22389,通知贷 ,上海贷1号032,5,1000000,8.00,7~317天,提前7天申请赎回,1,,
22293,应收贷 ,e收赢039,26,1000000,11.50,6个月,按月付息到期还本,1,特惠标,
项目编号,类型,名称,子编号,总额,年化收益率,期限,方式,是否有优惠,优惠方式,优惠利率
22314,房贷 ,友居贷1号021,30,1000000,10.90,3个月,按月付息到期还本,1,特惠标,
22375,产融贷 ,汇赢3号036,15,1000000,8.50,30天,一次性还本付息,0,,
22382,产融贷 ,长兴2号110,2,1000000,12.50,12个月,按月付息到期还本,1,特惠标,
22389,通知贷 ,上海贷1号032,5,1000000,8.00,7~317天,提前7天申请赎回,1,,
22293,应收贷 ,e收赢039,26,1000000,11.50,6个月,按月付息到期还本,1,特惠标,
